"STATE","RELIG","POPWGHT"
"NC","11",0.082925925925926
"NC","12",1.27437037037037
"NC","13",0.130851851851852
"NC","14",1.09285185185185
"NC","17",13.1739259259259
"NC","18",1.94918518518519
"NC","19",2.0217037037037
"NC","20",0.600185185185186
"NC","21",0.589888888888889
"NC","22",0.224740740740741
"NC","23",0.31962962962963
"NC","24",0.208777777777778
"NC","26",0.643481481481482
"NC","27",0.049925925925926
"NC","29",0.065962962962963
"NC","30",0.022962962962963
"NC","31",0.334962962962963
"NC","35",0.068
"NC","36",1.2402962962963
"NC","37",0.024962962962963
"NC","39",0.141814814814815
"NC","40",0.056962962962963
"NC","41",0.041
"NC","45",0.024962962962963
"NC","46",0.057925925925926
"NC","47",0.025962962962963
"NC","60",0.37762962962963
"NC","61",0.063888888888889
"NC","62",0.392777777777778
